Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2017 Honda City,60840,Petrol,Manual,UP-32,₹3.60L₹3.50 lakh,₹2.35 lakh, Indian complax Indian complax Rohtak
2016 Renault Kwid,50405,Petrol,Manual,UP-65,"EMI ₹12,710/m*",₹4.69 lakh, sainik Colony Rohtak
2018 Tata NEXON,69479,Petrol,Manual,UP-13,₹2.70 lakh,₹2.55 lakh, Jagdish Colony Rohtak Haryana
2013 Maruti Wagon R 1.0,138156,Petrol,Manual,HR-26,Not available on EMI,₹3.65 lakh, Janta colony near triveni Park Rohtak
2014 Toyota Etios,104991,Diesel,Manual,UP-25,₹1.15L₹0.95 lakh,₹2.48 lakh, Rajendra Nagar Rohtak
2013 Maruti Swift Dzire,81052,Diesel,Manual,UP-80,"EMI ₹15,415/m*",₹1.79 lakh, Rajendra Nagar Rohtak
2017 Tata TIGOR,98000,Diesel,Manual,HR-14,₹6.93 lakh,₹3.75 lakh, Ekta Colony Ekta Colony Rohtak
2012 Maruti Wagon R 1.0,29121,Petrol,Manual,HR-10,"EMI ₹7,674/m*",₹6.10 lakh, Sector 4 Rohtak Haryana
2021 Maruti New Wagon-R,57214,CNG,Manual,UP-23,₹3.45 lakh,₹3.09 lakh, Rajendra Nagar Rohtak
2020 Hyundai Elite i20,25903,Petrol,Manual,HR-72,"EMI ₹14,459/m*",₹3.43 lakh, Rohtak bus stand Rohtak
2013 Maruti Swift Dzire,97171,Diesel,Manual,UP-80,₹7.10L₹6.50 lakh,₹3.19 lakh, Sector 38 Gurugram Haryana
2011 Chevrolet Aveo,137162,CNG,Manual,DL-11,"EMI ₹8,008/m*",₹6.88 lakh, Sector 24 Rohtak
2023 Volkswagen TAIGUN,55308,Petrol,Manual,HR-14,₹3.60 lakh,₹2.75 lakh, Bahadurgarh - Chhara - Beri Road Mattan Haryana
2013 Honda Brio,63196,Petrol,Manual,DL-11,"EMI ₹7,284/m*",Account ," Vpo Ladpur, Jhajjar, Haryana Ladpur"
2013 Hyundai Eon,41782,Petrol,Manual,DL-13,₹4.37L₹4.13 lakh+ other charges,₹1.20 lakh, Jungi Mohla Kasaar Haryana
2020 Mahindra Bolero,68806,Diesel,Manual,DL-12,"EMI ₹7,326/m*",₹1.90 lakh, Sector 17 Sankhol Haryana
2017 Maruti Swift,78928,Petrol,Manual,DL-14,₹4.25L₹4.15 lakh+ other charges,₹4.70 lakh, Udhyog Vihar Sankhol
2017 Hyundai Xcent,155158,Diesel,Manual,DL-12,"EMI ₹10,775/m*",₹3.60 lakh, Arya Nagar Bahadurgarh Haryana
2014 Hyundai Eon,50908,Petrol,Manual,DL-10,₹6.26L₹6.10 lakh+ other charges,₹1.56 lakh, Distt JhajjarPin code- ; Jhajjar
2016 Hyundai Elite i20,83209,Diesel,Manual,HR-21,"EMI ₹5,633/m*",₹1.40 lakh, Tdi Tuscan Tdi Tuscan Sonipat
2017 Hyundai Xcent,85164,Diesel,Manual,UP-13,₹3.56L₹3.19 lakh+ other charges,₹1.85 lakh, Kassar Playground Jhajjar Haryana
2019 Maruti Vitara Brezza,107381,Diesel,Manual,HR-26,"EMI ₹12,145/m*",₹1.55 lakh, Sector-15 Bahadurgarh Jhajjar
2011 Hyundai Verna,96520,CNG,Manual,UP-25,₹7.74L₹6.88 lakh+ other charges,₹1.39 lakh, Raj Nagar Extension Ghaziabad Uttar Pradesh
2018 Maruti Wagon R 1.0,58360,Petrol,Manual,UP-80,"EMI ₹6,920/m*",₹1.33 lakh, trauma center room no 11 Civil Hospital Bahadurgarh Madhya Marg Jhajjar
2017 Maruti Ertiga,119696,CNG,Manual,HR-14,₹4.00L₹3.92 lakh+ other charges,₹3.55 lakh, Vikash Nagar Bahadurgarh Haryana
2013 Maruti Swift Dzire,85930,Diesel,Manual,HR-10,Not available on EMI,₹3.23 lakh, Sector 2 Sector 2 Bahadurgarh
2018 Hyundai Eon,20653,Petrol,Manual,UP-23,₹1.34 lakh+ other charges,₹4.54 lakh, MASZID Bahadurgarh Bypass Haryana
2018 Maruti IGNIS,94300,Petrol,Manual,HR-72,"EMI ₹8,457/m*",₹6.85 lakh, Rohtak Division Near sai dental clinic Bahadurgarh
2023 Maruti Eeco,42223,CNG,Manual,UP-80,₹5.28L₹4.79 lakh+ other charges,₹2.80 lakh, New Basti Bahadurgarh Haryana
2016 Maruti Celerio,105500,Petrol,Manual,HR-14,"EMI ₹10,034/m*",₹6.90 lakh, Hno-1404 Sector-2 Jhajjar
2021 Maruti New Wagon-R,54615,CNG,Manual,DL-12,₹6.48L₹5.68 lakh+ other charges,₹3.95 lakh, MVCX+PHH Bahadurgarh Haryana
2022 Tata NEXON,65219,Diesel,Manual,HR-51,"EMI ₹4,869/m*",₹2.50 lakh, Sankhol Bahadurgarh Haryana
2012 Maruti Wagon R 1.0,72554,Petrol,Manual,HR-02,₹3.21L₹2.76 lakh+ other charges,₹5.73 lakh, HUDA Panipat Haryana
2018 Hyundai Grand i10,72750,Petrol,Manual,UP-80,"EMI ₹12,320/m*",₹1.10 lakh, shop no mastanan chowk panipat panipat haryana Panipat
2012 Maruti Wagon R 1.0,91773,Petrol,Manual,HR-51,₹7.49L₹6.98 lakh+ other charges,Account , Ha Haryana India - Panipat
2017 Maruti Vitara Brezza,163834,Diesel,Manual,HR-51,"EMI ₹7,993/m*",₹3.00 lakh, Batra Colony Panipat Haryana
2012 Maruti Wagon R 1.0,103490,CNG,Manual,HR-06,₹4.67L₹4.53 lakh+ other charges,₹2.20 lakh, Huda Panipat Haryana
2012 Maruti Wagon R 1.0,253766,CNG,Manual,HR-11,"EMI ₹7,154/m*",₹2.00 lakh, HUDA Panipat Haryana
2018 Maruti Dzire,109643,Petrol,Manual,HR-08,₹3.42L₹3.22 lakh+ other charges,₹5.05 lakh, Old Housing Board Colony Panipat Haryana
2016 Maruti Celerio,76492,CNG,Manual,HR-26,"EMI ₹7,544/m*",₹3.80 lakh, Panipat Panipat Taraf Makhdum Zadgan Haryana
2015 Maruti Wagon R 1.0,97830,CNG,Manual,HR-07,₹4.49L₹4.27 lakh+ other charges,₹1.20 lakh, Assandh Assandh Ruralpart
2013 Volkswagen Polo,131144,Petrol,Manual,HR-87,"EMI ₹13,345/m*",₹1.30 lakh, Panipat Panipat Taraf Afghan Haryana
2018 Maruti Swift,61013,Petrol,Manual,HR-03,₹9.76L₹7.56 lakh+ other charges,₹4.85 lakh, HUDA Panipat Haryana
